province_id;name
94;KABUPATEN NDUGA
94;KABUPATEN LANNY JAYA
94;KABUPATEN MAMBERAMO TENGAH
94;KABUPATEN YALIMO
94;KABUPATEN PUNCAK
94;KABUPATEN DOGIYAI
94;KABUPATEN INTAN JAYA
94;KABUPATEN DEIYAI
94;KOTA JAYAPURA
99;OTHER
